label,metric,n_CXCR6_pos,n_CXCR6_neg,mean_CXCR6_pos,mean_CXCR6_neg,delta_pos_minus_neg,p_value,p_adj_BH,star
PBMC,AURKB,185,1184,0.015240972306532808,0.0018480389874998208,0.013392933319032987,0.03252092905710668,0.09460633907521943,*
PBMC,BAD,185,1184,0.19507789351180685,0.13538375202015293,0.05969414149165392,0.03232882990418809,0.09460633907521943,*
PBMC,BAK1,185,1184,0.1757091165671243,0.1409233507867008,0.0347857657804235,0.11924418521859045,0.2725581376424924,ns
PBMC,BAX,185,1184,0.7076083111157441,0.7132440401004195,-0.005635728984675459,0.9379624938545347,0.9788146560519931,ns
PBMC,BCL2,185,1184,0.5830539331608973,0.6603861549505315,-0.07733222178963428,0.2204826206519819,0.39196910338130114,ns
PBMC,BCL2L11,185,1184,0.12101493995289096,0.04558304781693303,0.07543189213595794,5.872127843531542e-4,0.0023488511374126168,***
PBMC,BID,185,1184,0.16798877905438903,0.18996259613075614,-0.021973817076367114,0.6215222810208061,0.7955485197066318,ns
PBMC,CASP3,185,1184,0.1947281674813529,0.1385549884002888,0.05617317908106412,0.046491802069971284,0.12936849271644182,*
PBMC,CCNB1,185,1184,0.012900802789643112,0.015652617370646958,-0.0027518145810038457,0.9012581146975223,0.9788146560519931,ns
PBMC,CDC20,185,1184,0,0.0018194130415145665,-0.0018194130415145665,0.577042518668071,0.7536881876480926,ns
PBMC,CDK1,185,1184,0,0.007903678097879358,-0.007903678097879358,0.2949556001044733,0.4967673264917445,ns
PBMC,CDKN1A,185,1184,0.007482959589806063,0.006031131930470647,0.0014518276593354163,0.9503074101833983,0.9788146560519931,ns
PBMC,CDKN1B,185,1184,0.5766698315931793,0.5810652211332281,-0.004395389540048811,0.8349250172923841,0.9788146560519931,ns
PBMC,CDKN2A,185,1184,0.1328916834049938,0.08716634779684511,0.04572533560814869,0.05831497451243809,0.1555065986998349,ns
PBMC,CXCR6,185,1184,1.580295944473825,0,1.580295944473825,2.272330877332741e-297,7.271458807464771e-296,***
PBMC,Cell_cycle_arrest_module,185,1184,-0.12143779318996793,-0.10930397813905011,-0.012133815050917818,0.10308678088253424,0.2443538509808219,ns
PBMC,G2M.Score,185,1184,-0.018778512363463413,-0.02170189361874785,0.0029233812552844386,0.3243487226915178,0.5189579563064285,ns
PBMC,GZMB,185,1184,0.6713886193435563,0.6636040280389267,0.007784591304629607,0.9194871008508915,0.9788146560519931,ns
PBMC,IFNG,185,1184,0.2127567619097971,0.10305523101146914,0.10970153089832795,0.0037032403378797537,0.013941610683782602,**
PBMC,MCL1,185,1184,0.9407438843079102,0.7660874120367502,0.17465647227116,0.01330271261457465,0.047298533740709865,*
PBMC,MCM5,185,1184,0.18597409119557454,0.12667435231891075,0.05929973887666379,0.06746326202217114,0.1727059507767581,ns
PBMC,MKI67,185,1184,0.022860427902195696,0.010416127776649985,0.012444300125545711,0.13462854292339418,0.28528167465783033,ns
PBMC,PCNA,185,1184,0.12358286260800938,0.1283156277221803,-0.004732765114170923,0.9768586916325015,0.9788146560519931,ns
PBMC,PLK1,185,1184,0,0.0019094770363524355,-0.0019094770363524355,0.577042518668071,0.7536881876480926,ns
PBMC,Proliferation_module,185,1184,0.0010268344746778893,-0.0036251005827767427,0.0046519350574546325,0.3126115834899981,0.5130036241887148,ns
PBMC,RB1,185,1184,0.28740998783755767,0.2906544078674204,-0.003244420029862749,0.9046287097323301,0.9788146560519931,ns
