label,metric_id,metric,n_patient_pairs,mean_CXCR6_pos,mean_CXCR6_neg,delta_pos_minus_neg,p_value,p_adj_BH,star
PBMC,mean_G2M_score,Seurat G2M score,4,-0.01919285271928327,-0.019607811770889542,4.149590516062708e-4,1,1,ns
PBMC,mean_MKI67_expression,MKI67 expression,4,0.02427033672782427,0.006212047397376732,0.018058289330447536,0.42267807417063546,0.7186245178712188,ns
PBMC,mean_S_score,Seurat S score,4,5.944467165457489e-4,-9.916990178436075e-5,6.936166183301098e-4,0.8551321405847059,0.9772938749539495,ns
PBMC,mean_cell_cycle_arrest_module,Cell-cycle arrest module,4,-0.1260963955193431,-0.15484888158361446,0.02875248606427136,0.5838824207703652,0.7186245178712188,ns
PBMC,mean_proliferation_module,Proliferation module,4,0.0031393124711812078,-0.003964388456350212,0.00710370092753142,0.5838824207703652,0.7186245178712188,ns
PBMC,mean_survival_apoptosis_module,Survival/apoptosis module,4,-0.09458055779226322,-0.10124093297577702,0.0066603751835137975,0.5838824207703652,0.7186245178712188,ns
PBMC,mkI67_positive_frequency,MKI67+ frequency,4,0.02095588235294118,0.005427411746206463,0.015528470606734715,0.42267807417063546,0.7186245178712188,ns
PBMC,proliferation_gene_positive_frequency,Any proliferation gene+ frequency,4,0.27028407748641625,0.2643671821303663,0.005916895356049945,1,1,ns
Graft,mean_G2M_score,Seurat G2M score,4,-0.013397956358832125,-0.017653162942499103,0.0042552065836669786,0.10034824646229079,0.7186245178712188,ns
Graft,mean_MKI67_expression,MKI67 expression,4,0.04071307225390792,0.028274187025047654,0.012438885228860264,0.20124262095772402,0.7186245178712188,ns
Graft,mean_S_score,Seurat S score,4,-0.001623462049308762,-4.3371214491224783e-4,-0.0011897499043965142,0.5838824207703652,0.7186245178712188,ns
Graft,mean_cell_cycle_arrest_module,Cell-cycle arrest module,4,-0.08787207092492626,-0.09716474984373683,0.009292678918810568,0.20124262095772402,0.7186245178712188,ns
Graft,mean_proliferation_module,Proliferation module,4,0.003680555749413518,0.01137561574999039,-0.007695060000576872,0.5838824207703652,0.7186245178712188,ns
Graft,mean_survival_apoptosis_module,Survival/apoptosis module,4,-0.11864565383296356,-0.12726803642577666,0.008622382592813102,0.5838824207703652,0.7186245178712188,ns
Graft,mkI67_positive_frequency,MKI67+ frequency,4,0.031734051464781546,0.02135507151379125,0.010378979950990297,0.20124262095772402,0.7186245178712188,ns
Graft,proliferation_gene_positive_frequency,Any proliferation gene+ frequency,4,0.2947836401352641,0.3261808236090222,-0.031397183473758083,0.5838824207703652,0.7186245178712188,ns
